entno,corpname,code,crno
01384477,엠에프엠코리아,323230,1101117067138
00939687,동일고무벨트,163560,1801110828129
01210066,리파인,377450,1101112564478
01695498,이브이파킹서비스,419700,1101118011754
00120906,에스아이리소스,065420,1701110031873
00296290,키움증권,039490,1101111867948
00219848,서희건설,035890,1101110335912
01256864,에이비엘바이오,298380,1101115974020
00568188,마이크로컨텍솔,098120,1845110022448
00140964,영원무역홀딩스,009970,1101110165830
00311270,원텍,216280,1748110019285
00110547,넥상스코리아,003050,1115110000798
01364297,코퍼스코리아,322780,1101117062716
00255433,라온시큐어,042510,1353110002964
00254045,우리은행,000030,1101110023393
00537221,인바이츠바이오코아,216400,1101112250077
01182259,알피바이오,314140,1101116142668
01671601,카이바이오텍,446600,2101110087512
00543107,오킨스전자,080580,1341110059845
00371485,켐트로닉스,089010,1311110028116
00164830,HD한국조선해양,009540,1812110000386
00164502,현대공업,170030,1812110001102
00791209,더메디팜,118000,1701110391532
01010110,더블유게임즈,192080,1101114855924
01189438,HLB바이오스텝,278650,2842110063231
01190513,명진홀딩스,267060,1101114825810
01721809,현대그린푸드,453340,1345110623337
00106669,세아베스틸지주,001430,1101110035794
00104573,국일제지,078130,1345110001377
00112059,상상인증권,001290,1101110031560
00110750,리더스 기술투자,019570,1101110511588
00131780,SK네트웍스,001740,1301110005199
00137915,에스엠코어,007820,1101110128680
00131832,SK디스커버리,006120,1301110005727
00140061,TKG애강,022220,1545110001571
00156910,SBI인베스트먼트,019550,1101110511273
00155124,평화홀딩스,010770,1701110006412
00172945,동일철강,023790,1801110002004
00160843,DB하이텍,000990,1101110026206
00260745,SCI평가정보,036120,1101110853419
00162586,한올바이오파마,009420,1641110000397
00339072,팬스타엔터프라이즈,054300,1201110126038
00156895,아주IB투자,027360,1101110169874
00372253,연우,115960,1201110101890
00367604,SM Life Design,063440,1101111626063
00209443,우리금융캐피탈,033660,1601110038524
00155531,풍산홀딩스,005810,1201110018110
00831428,옵투스제약,131030,1101114399906
00103626,한솔피엔에스,010420,1101110175970
00657002,에이디테크놀로지,200710,1311110081627
00380429,CMG제약,058820,1350110115846
00350048,오성첨단소재,052420,1201110097940
00164609,현대미포조선,010620,1812110000526
00370918,케이디켐,221980,1341110013255
00173078,명신산업,009900,1712110000958
00203315,콘텐트리중앙,036420,1101110545751
00391197,메디프론,065650,1101111390816
00498001,모베이스,101330,1101111665516
00209780,케이씨,029460,1101110703210
00365387,AJ네트웍스,095570,1101111874654
00526678,동방선기,099410,1941110002884
00527491,하이드로리튬,101670,1101111125289
00459871,농심홀딩스,072710,1101112819005
00601988,코난테크놀로지,402030,1101111682932
00573579,평화산업,090080,1701110309329
00602136,디와이피엔에프,104460,1101111725386
00661847,화인베스틸,133820,1951110010951
00634728,이크레더블,092130,1101112303305
00861997,인포마크,175140,1101112431669
00861076,케이탑리츠,145270,1101114465004
00910840,윈하이텍,192390,1545110049654
00152589,코리아나,027050,1101110597166
00562245,태웅로직스,124560,1101111234543
00109781,대림제지,017650,1348110003020
01181515,엘앤씨바이오,290650,1311110288992
00878517,에스케이씨에스,224020,1348110097792
01067808,넵튠,217270,1101115671171
01223219,에이에프더블류,312610,1752110007968
01258428,프레스티지바이오로직스,334970,1101115739804
01396676,일승,333430,1101117196523
00361266,코원플레이,056000,1101111319858
01351080,지아이이노베이션,358570,1452110021112
01242241,샌즈랩,411080,1101113108465
00260408,팜스코,036580,1311110042950
00175623,ES큐브,050120,1801110031516
00422895,세이브존I&C,067830,1101112520644
01055317,비엔디생활건강,215050,1101114768440
01051472,젠큐릭스,229000,1101114690768
01412822,솔루스첨단소재,336370,2149110058927
00127802,삼익THK,004380,1701110000935
00192499,팜스토리,027710,1543110001715
00252135,주성엔지니어링,036930,1301110033281
00776820,영원무역,111770,1101114129585
00991225,더콘텐츠온,302920,1101115017614
00599285,서플러스글로벌,140070,1101111921140
00163761,한창제지,009460,1845110000105
00409681,아스트,067390,1954110007168
00550994,아이센스,099190,1101111960924
00666329,코나솔,176590,1348110031089
01566248,에코프로에이치엔,383310,1501110307674
01336461,뉴로메카,348340,2841110112915
00107613,이수페타시스,007660,1101110186638
00113225,대한제강,084010,1801110003268
00118451,동일제강,002690,1101110032005
00117708,리드코프,012700,1101110219398
00119195,동화약품,000020,1101110043870
00609634,아이엠,101390,1358110122283
00350312,HDC랩스,039570,1101111775365
00664048,우리넷,115440,1301110057124
01091382,세토피아,222810,1101115745520
00105138,파라텍,033540,1243110000573
01187175,라이프사이언스테크놀로지,285770,1211110160093
01622331,벨로크,424760,1101118233415
01344831,딥노이드,315640,1101113841627
00415594,동국S&C,100130,1101112276784
00104722,국제약품,002720,1101110032154
00922304,아셈스,136410,1801110515685
00226352,케이엠더블유,032500,1348110020579
00925587,위드텍,348350,1601110166341
01394669,누보,332290,1101117182655
00122825,인스코비,006490,1101110018592
00545114,랩지노믹스,084650,1345110059821
00872656,금양그린파워,282720,1812110025384
00121686,엠케이전자,033160,1345110004412
00134565,이스타코,015020,1243110006042
00125822,삼보산업,009620,1801110020246
00143226,엠투엔,033310,1345110000600
00136776,제이준코스메틱,025620,1341110001672
00144243,유니슨,018000,1101110382020
00138242,KG모빌리티,003620,1101110035132
00138792,아시아나항공,020560,1101110562804
00155586,HLB이노베이션,024850,1101110234312
00141477,영흥,012160,1942110000191
00155948,코웰패션,033290,1101110166127
00219361,해성산업,034810,1101110028145
00228712,동우팜투테이블,088910,2111110005365
00153339,태경산업,015890,1348110002080
00244561,그래디언트,035080,1101111468093
00260930,에스엠,041510,1101111128340
00140858,와이엠,007530,1101110123408
01186671,바이오시네틱스,281310,1101112943010
00371740,디스플레이텍,066670,1760110017077
00136624,신영와코루,005800,1101110094964
00238977,에스엠화진,134780,1747110002646
01259232,노바텍,285490,1351110083661
00124540,대우건설,047040,1101112137895
01344363,다원넥스뷰,323350,1101114224020
00193328,수산인더스트리,126720,1615110001613
00260958,케이티알파,036030,1101110822026
00248974,하나제약,293480,1311110002409
00300557,위니아,071460,1648110015300
